,CorrTime,fltLongitude,fltLatitude,fltSpeed,dtTime,srtAngle,NoOfSat,DoorOpen,IgniStat,ExtBatLevel,IntBatLevel,odo,din3,din4,an1,an2,an3,an4,odometer,zzentrydt,angles,angles_cross,lat_long,distances,deltaT,speed
19,2018-06-19 10:06:14,81.18154200000001,24.487627,6,19-06-2018 04:36,81,,1,1,14308,4003,59,1,1,13833,,300,300,,19-06-2018 04:36,4.585467560545752,4.585467560545752,"24.487627, 81.18154200000001",0.05754885711861783,0.008333333333333333,6.90586285423414
20,2018-06-19 10:06:44,81.182074,24.487734,6,19-06-2018 04:36,73,,1,1,14322,4003,56,1,1,13850,,300,300,,19-06-2018 04:37,4.962188556007022,4.962188556007022,"24.487734, 81.182074",0.05521304671360724,0.008333333333333333,6.625565605632868
21,2018-06-19 10:07:14,81.182579,24.487882,6,19-06-2018 04:37,72,,1,1,14315,4003,55,1,1,13840,,300,300,,19-06-2018 04:37,4.36349715513407,4.36349715513407,"24.487882, 81.182579",0.053750006769512845,0.008333333333333333,6.450000812341542
22,2018-06-19 10:07:44,81.183066,24.488066,6,19-06-2018 04:37,64,,1,1,14319,4003,54,1,1,13836,,300,300,,19-06-2018 04:38,3.141001553137764,3.141001553137764,"24.488066, 81.183066",0.05340626422255796,0.008333333333333333,6.408751706706956
23,2018-06-19 10:08:14,81.183539,24.488275,6,19-06-2018 04:38,61,,1,1,14316,4003,54,1,1,13843,,300,300,,19-06-2018 04:38,5.08026519952966,5.08026519952966,"24.488275, 81.183539",0.05324163643119425,0.008333333333333333,6.38899637174331
24,2018-06-19 10:08:44,81.18400600000001,24.488533,6,19-06-2018 04:38,56,,1,1,14309,4003,56,1,1,13808,,300,300,,19-06-2018 04:39,3.986237540366233,3.986237540366233,"24.488533, 81.18400600000001",0.05529434670571277,0.008333333333333333,6.635321604685532
25,2018-06-19 10:09:14,81.184448,24.488819,6,19-06-2018 04:39,47,,1,1,14314,4003,56,1,1,13834,,300,300,,19-06-2018 04:39,27.049788396042,27.049788396042,"24.488819, 81.184448",0.05487116691701544,0.008333333333333333,6.584540030041853
26,2018-06-19 10:09:44,81.184614,24.489106,5,19-06-2018 04:39,46,,1,1,14314,4003,37,1,1,13827,,300,300,,19-06-2018 04:40,21.04138266394901,21.04138266394901,"24.489106, 81.184614",0.035968158073043516,0.008333333333333333,4.316178968765222
27,2018-06-19 10:10:14,81.184998,24.489416000000002,6,19-06-2018 04:40,50,,1,1,14316,4003,53,1,1,13846,,300,300,,19-06-2018 04:41,1.7797170289582918,1.7797170289582918,"24.489416000000002, 81.184998",0.051904616678154894,0.008333333333333333,6.228554001378587
28,2018-06-19 10:10:44,81.185344,24.489678,6,19-06-2018 04:40,43,,1,1,14315,4003,46,1,1,13833,,300,300,,19-06-2018 04:41,8.055788804811284,8.055788804811284,"24.489678, 81.185344",0.045521549835406266,0.008333333333333333,5.462585980248752
29,2018-06-19 10:11:14,81.185645,24.489981,4,19-06-2018 04:41,48,,1,1,14313,4003,46,1,1,13831,,300,300,,19-06-2018 04:42,3.2972986614463666,3.2972986614463666,"24.489981, 81.185645",0.04535720580222257,0.008333333333333333,5.442864696266708
30,2018-06-19 10:11:44,81.185946,24.490251,5,19-06-2018 04:41,53,,1,1,14311,4003,44,1,1,13840,,300,300,,19-06-2018 04:42,1.346848750573079,1.346848750573079,"24.490251, 81.185946",0.04272327425453624,0.008333333333333333,5.126792910544348
31,2018-06-19 10:12:14,81.186285,24.490541,6,19-06-2018 04:42,42,,1,1,14314,4003,48,1,1,13832,,300,300,,19-06-2018 04:43,0.48478856209914944,0.48478856209914944,"24.490541, 81.186285",0.04703784394563351,0.008333333333333333,5.644541273476022
32,2018-06-19 10:12:44,81.186637,24.490837,6,19-06-2018 04:42,42,,1,1,14315,4003,49,1,1,13831,,300,300,,19-06-2018 04:43,0.8065289213427482,0.8065289213427482,"24.490837, 81.186637",0.048456012386706535,0.008333333333333333,5.8147214864047845
33,2018-06-19 10:13:14,81.18700799999999,24.491158,5,19-06-2018 04:43,45,,1,1,14316,4003,53,1,1,13860,,300,300,,19-06-2018 04:44,0.895053105770098,0.895053105770098,"24.491158, 81.18700799999999",0.05175292508621088,0.008333333333333333,6.210351010345305
34,2018-06-19 10:13:44,81.187379,24.491469,6,19-06-2018 04:43,40,,1,1,14304,4003,52,1,1,13830,,300,300,,19-06-2018 04:44,4.43910516920671,4.43910516920671,"24.491469, 81.187379",0.05099821980211556,0.008333333333333333,6.119786376253868
35,2018-06-19 10:14:14,81.187674,24.491757999999997,5,19-06-2018 04:44,46,,1,1,14307,4003,45,1,1,13833,,300,300,,19-06-2018 04:45,3.119793599097552,3.119793599097552,"24.491757999999997, 81.187674",0.04380439254257785,0.008333333333333333,5.256527105109342
36,2018-06-19 10:14:44,81.188019,24.492061,6,19-06-2018 04:44,55,,1,1,14307,4003,49,1,1,13835,,300,300,,19-06-2018 04:45,1.0233015858439374,1.0233015858439374,"24.492061, 81.188019",0.048469344272071245,0.008333333333333333,5.816321312648549
37,2018-06-19 10:15:14,81.188365,24.492376,6,19-06-2018 04:45,48,,1,1,14306,4003,50,1,1,13851,,300,300,,19-06-2018 04:46,1.4997895542318869,1.4997895542318869,"24.492376, 81.188365",0.0494707742525111,0.008333333333333333,5.9364929103013315
38,2018-06-19 10:15:44,81.18871700000001,24.49268,5,19-06-2018 04:45,46,,1,1,14291,4003,50,1,1,13836,,300,300,,19-06-2018 04:46,7.188421955528531,7.188421955528531,"24.49268, 81.18871700000001",0.049059552589355925,0.008333333333333333,5.887146310722711
39,2018-06-19 10:16:14,81.189024,24.493021,5,19-06-2018 04:46,14,,1,1,14296,4003,50,1,1,13829,,300,300,,19-06-2018 04:47,7.089122608720245,7.089122608720245,"24.493021, 81.189024",0.04893831032448009,0.008333333333333333,5.872597238937611
40,2018-06-19 10:16:22,81.189114,24.493099,6,19-06-2018 04:46,79,,1,1,14300,4003,13,1,1,13836,,300,300,,19-06-2018 04:47,41.73283868376514,41.73283868376514,"24.493099, 81.189114",0.012564361541469522,0.0022222222222222222,5.653962693661285
41,2018-06-19 10:16:26,81.189184,24.493098,6,19-06-2018 04:46,99,,1,1,14271,4003,7,1,1,13833,,300,300,,19-06-2018 04:47,12.372155251724529,12.372155251724529,"24.493098, 81.189184",0.007096086653928792,0.0011111111111111111,6.386477988535913
42,2018-06-19 10:16:31,81.18924799999999,24.493083,6,19-06-2018 04:46,121,,1,1,14288,4003,7,1,1,13833,,300,300,,19-06-2018 04:47,24.6843729278956,24.6843729278956,"24.493083, 81.18924799999999",0.006696452378470702,0.001388888888888889,4.821445712498905
43,2018-06-19 10:16:33,81.189293,24.493048,7,19-06-2018 04:46,137,,1,1,14289,4003,6,1,1,13830,,300,300,,19-06-2018 04:47,36.17962046382708,36.17962046382708,"24.493048, 81.189293",0.005986165512669371,0.0005555555555555556,10.775097922804868
